Time,F_in,F_out
17:38:00,0.009043796,0.137666667
17:38:01,0.008963504,0.136444444
17:38:02,0.008729927,0.132888889
17:38:03,0.009047445,0.137722222
17:38:04,0.008689781,0.132277778
17:38:05,0.008777372,0.133611111
17:38:06,0.009010949,0.137166667
17:38:07,0.008737226,0.133
17:38:08,0.009175182,0.139666667
17:38:09,0.008770073,0.1335
17:38:10,0.008959854,0.136388889
17:38:11,0.009,0.137
17:38:12,0.008959854,0.136388889
17:38:13,0.009083942,0.138277778
17:38:14,0.009047445,0.137722222
17:38:15,0.009047445,0.137722222
17:38:16,0.008916058,0.135722222
17:38:17,0.008821168,0.134277778
17:38:18,0.009047445,0.137722222
17:38:19,0.008919708,0.135777778
17:38:20,0.008726277,0.132833333
17:38:21,0.008770073,0.1335
17:38:22,0.008733577,0.132944444
17:38:23,0.009,0.137
17:38:24,0.009,0.137
17:38:25,0.008956204,0.136333333
17:38:26,0.008956204,0.136333333
17:38:27,0.008959854,0.136388889
17:38:28,0.009087591,0.138333333
17:38:29,0.008868613,0.135
17:38:30,0.008905109,0.135555556
17:38:31,0.008864964,0.134944444
17:38:32,0.009043796,0.137666667
17:38:33,0.008832117,0.134444444
17:38:34,0.008784672,0.133722222
17:38:35,0.00900365,0.137055556
17:38:36,0.009047445,0.137722222
17:38:37,0.008832117,0.134444444
17:38:38,0.008781022,0.133666667
17:38:38,0.008959854,0.136388889
17:38:39,0.008959854,0.136388889
17:38:40,0.008959854,0.136388889
17:38:41,0.008766423,0.133444444
17:38:42,0.008872263,0.135055556
17:38:43,0.008868613,0.135
17:38:44,0.008959854,0.136388889
17:38:45,0.008864964,0.134944444
17:38:46,0.008784672,0.133722222
17:38:47,0.008824818,0.134333333
17:38:48,0.008773723,0.133555556
17:38:49,0.008645985,0.131611111
17:38:50,0.008959854,0.136388889
17:38:51,0.009091241,0.138388889
17:38:52,0.008737226,0.133
17:38:53,0.009087591,0.138333333
17:38:54,0.008959854,0.136388889
17:38:55,0.008781022,0.133666667
17:38:56,0.008916058,0.135722222
17:38:57,0.008956204,0.136333333
17:38:58,0.008908759,0.135611111
17:38:59,0.00899635,0.136944444
17:39:00,0.008737226,0.133
17:39:01,0.008810219,0.137666667
17:39:02,0.008821168,0.136444444
17:39:03,0.009,0.132888889
17:39:04,0.008868613,0.137722222
17:39:05,0.009091241,0.132277778
17:39:06,0.008919708,0.133611111
17:39:07,0.008948905,0.137166667
17:39:08,0.008868613,0.133
17:39:09,0.009047445,0.139666667
17:39:10,0.009010949,0.1335
17:39:11,0.008824818,0.136388889
17:39:12,0.008784672,0.137
17:39:13,0.009051095,0.136388889
17:39:14,0.009043796,0.138277778
17:39:15,0.008689781,0.137722222
17:39:16,0.008821168,0.137722222
17:39:17,0.009,0.135722222
17:39:18,0.009,0.134277778
17:39:19,0.009,0.137722222
17:39:20,0.009091241,0.135777778
17:39:21,0.008693431,0.132833333
17:39:22,0.009040146,0.1335
17:39:23,0.009007299,0.132944444
17:39:23,0.008912409,0.137
17:39:24,0.00900365,0.137
17:39:25,0.008959854,0.136333333
17:39:26,0.008963504,0.136333333
17:39:27,0.008956204,0.136388889
17:39:28,0.008824818,0.138333333
17:39:29,0.008967153,0.135
17:39:30,0.00909854,0.135555556
17:39:31,0.009,0.134944444
17:39:32,0.009051095,0.137666667
17:39:33,0.008828467,0.134444444
17:39:34,0.009,0.133722222
17:39:35,0.009043796,0.137055556
17:39:36,0.008963504,0.137722222
17:39:37,0.008729927,0.134444444
17:39:38,0.009047445,0.133666667
17:39:39,0.008689781,0.136388889
17:39:40,0.008777372,0.136388889
17:39:41,0.009010949,0.136388889
17:39:42,0.008737226,0.133444444
17:39:43,0.009175182,0.135055556
17:39:44,0.008770073,0.135
17:39:45,0.008959854,0.136388889
17:39:46,0.009,0.134944444
17:39:47,0.008959854,0.133722222
17:39:48,0.009083942,0.134333333
17:39:49,0.009047445,0.133555556
17:39:50,0.009047445,0.131611111
17:39:51,0.008916058,0.136388889
17:39:52,0.008821168,0.138388889
17:39:53,0.009047445,0.133
17:39:54,0.008919708,0.138333333
17:39:55,0.008726277,0.136388889
17:39:56,0.008770073,0.133666667
17:39:57,0.008733577,0.135722222
17:39:58,0.009,0.136333333
17:39:59,0.009,0.135611111
17:40:00,0.008956204,0.136944444
17:40:01,0.008956204,0.133
17:40:02,0.008959854,0.137666667
17:40:03,0.009087591,0.136444444
17:40:04,0.008868613,0.132888889
17:40:05,0.008905109,0.137722222
17:40:06,0.008864964,0.132277778
17:40:07,0.009043796,0.133611111
17:40:07,0.008832117,0.137166667
17:40:08,0.008784672,0.133
17:40:09,0.00900365,0.139666667
17:40:10,0.009047445,0.1335
17:40:11,0.008832117,0.136388889
17:40:12,0.008781022,0.137
17:40:13,0.008959854,0.136388889
17:40:14,0.008959854,0.138277778
17:40:15,0.008959854,0.137722222
17:40:16,0.008766423,0.137722222
17:40:17,0.008872263,0.135722222
17:40:18,0.008868613,0.134277778
17:40:19,0.008959854,0.137722222
17:40:20,0.008864964,0.135777778
17:40:21,0.008784672,0.132833333
17:40:22,0.008824818,0.1335
17:40:23,0.008773723,0.132944444
17:40:24,0.008645985,0.137
17:40:25,0.008959854,0.137
17:40:26,0.009091241,0.136333333
17:40:27,0.008737226,0.136333333
17:40:28,0.009087591,0.136388889
17:40:29,0.008959854,0.138333333
17:40:30,0.008781022,0.135
17:40:31,0.008916058,0.135555556
17:40:32,0.008956204,0.134944444
17:40:33,0.008908759,0.137666667
17:40:34,0.00899635,0.134444444
17:40:35,0.008737226,0.133722222
17:40:36,0.008810219,0.137055556
17:40:37,0.008821168,0.137722222
17:40:38,0.009,0.134444444
17:40:39,0.008868613,0.133666667
17:40:40,0.009091241,0.136388889
17:40:41,0.008919708,0.136388889
17:40:42,0.008948905,0.136388889
17:40:43,0.008868613,0.133444444
17:40:44,0.009047445,0.135055556
17:40:45,0.009010949,0.135
17:40:46,0.008824818,0.136388889
17:40:47,0.008784672,0.134944444
17:40:48,0.009051095,0.133722222
17:40:49,0.009043796,0.134333333
17:40:50,0.008689781,0.133555556
17:40:51,0.008821168,0.131611111
17:40:51,0.009,0.136388889
17:40:52,0.009,0.138388889
17:40:53,0.009,0.133
17:40:54,0.009091241,0.138333333
17:40:55,0.008693431,0.136388889
17:40:56,0.009040146,0.133666667
17:40:57,0.009007299,0.135722222
17:40:58,0.008912409,0.136333333
17:40:59,0.00900365,0.135611111
17:41:00,0.008959854,0.136944444
17:41:01,0.008963504,0.133
17:41:02,0.008956204,0.137666667
17:41:03,0.008824818,0.136444444
17:41:04,0.008967153,0.132888889
17:41:05,0.00909854,0.137722222
17:41:06,0.009,0.132277778
17:41:07,0.009051095,0.133611111
17:41:08,0.009587591,0.137166667
17:41:09,0.008821168,0.133
17:41:10,0.009189781,0.139666667
17:41:11,0.008821168,0.1335
17:41:12,0.00919708,0.136388889
17:41:13,0.010124088,0.137
17:41:14,0.010624088,0.136388889
17:41:15,0.01120438,0.138277778
17:41:16,0.010810219,0.137722222
17:41:17,0.009854015,0.137722222
17:41:18,0.009288321,0.135722222
17:41:19,0.011328467,0.134277778
17:41:20,0.009558394,0.137722222
17:41:21,0.009551095,0.135777778
17:41:22,0.009558394,0.132833333
17:41:23,0.010828467,0.1335
17:41:24,0.01049635,0.132944444
17:41:25,0.01070073,0.137
17:41:26,0.01030292,0.137
17:41:27,0.01260219,0.136333333
17:41:28,0.012733577,0.136333333
17:41:29,0.010905109,0.136388889
17:41:30,0.011875912,0.138333333
17:41:31,0.012332117,0.135
17:41:32,0.011594891,0.135555556
