Time,F_out,F_in
19:26:45,0.030205128,0.004498358
19:26:46,0.029521368,0.004498358
19:26:47,0.030205128,0.004498358
19:26:48,0.030034188,0.004498358
19:26:49,0.029931624,0.004498358
19:26:50,0.02965812,0.00410799
19:26:51,0.030068376,0.004111638
19:26:52,0.029794872,0.00410799
19:26:53,0.030512821,0.004458227
19:26:54,0.029521368,0.003779642
19:26:55,0.030358974,0.003779642
19:26:56,0.030837607,0.00412988
19:26:57,0.030239316,0.003473185
19:26:58,0.030376068,0.004148121
19:26:59,0.030666667,0.00410799
19:27:00,0.030222222,0.003473185
19:27:08,0.029931624,0.003473185
19:27:10,0.029641026,0.003797884
19:27:12,0.02991453,0.004498358
19:27:13,0.030376068,0.004498358
19:27:14,0.029931624,0.004498358
19:27:15,0.030222222,0.004476468
19:27:16,0.030512821,0.004126231
19:27:17,0.030222222,0.003797884
19:27:18,0.030222222,0.00410799
19:27:19,0.030051282,0.004502007
19:27:20,0.030051282,0.004151769
19:27:21,0.029897436,0.004126231
19:27:22,0.029641026,0.003816126
19:27:23,0.030068376,0.004111638
19:27:24,0.029641026,0.004523896
19:27:25,0.030188034,0.004111638
19:27:26,0.030034188,0.00412988
19:27:27,0.030358974,0.004461875
19:27:28,0.030222222,0.004151769
19:27:29,0.029504274,0.003819774
19:27:30,0.029760684,0.00412988
19:27:31,0.03034188,0.004498358
19:27:32,0.029521368,0.004498358
19:27:33,0.029606838,0.004461875
19:27:34,0.03034188,0.004126231
19:27:35,0.029897436,0.004461875
19:27:36,0.029504274,0.004855892
19:27:37,0.02974359,0.004498358
19:27:38,0.029897436,0.004498358
19:27:39,0.029623932,0.004834002
19:27:40,0.029623932,0.004483765
19:27:41,0.029897436,0.004852244
19:27:42,0.029897436,0.004812112
19:27:43,0.029487179,0.004830354
19:27:44,0.029897436,0.003757753
19:27:45,0.03034188,0.004476468
19:27:46,0.02974359,0.004815761
19:27:47,0.030034188,0.00412988
19:27:48,0.02991453,0.004476468
19:27:49,0.029213675,0.004148121
19:27:50,0.030461538,0.004151769
19:27:51,0.029880342,0.004520248
19:27:52,0.029897436,0.004830354
19:27:53,0.029367521,0.004461875
19:27:54,0.02974359,0.004148121
19:27:55,0.029726496,0.004498358
19:27:56,0.030923077,0.004151769
