Time,F_in,F_out
0.736527778,0.008810219,0.137055556
0.736539352,0.008821168,0.137722222
0.736550926,0.009,0.134444444
0.7365625,0.008868613,0.133666667
0.736574074,0.009091241,0.136388889
0.736585648,0.008919708,0.136388889
0.736597222,0.008948905,0.136388889
0.736608796,0.008868613,0.133444444
0.73662037,0.009047445,0.135055556
0.736631944,0.009010949,0.135
0.736643519,0.008824818,0.136388889
0.736655093,0.008784672,0.134944444
0.736666667,0.009051095,0.133722222
0.736678241,0.009043796,0.134333333
0.736689815,0.008689781,0.133555556
0.736701389,0.008821168,0.131611111
0.736701389,0.009,0.136388889
0.736712963,0.009,0.138388889
0.736724537,0.009,0.133
0.736736111,0.009091241,0.138333333
0.736747685,0.008693431,0.136388889
0.736759259,0.009040146,0.133666667
0.736770833,0.009007299,0.135722222
0.736782407,0.008912409,0.136333333
0.736793981,0.00900365,0.135611111
0.736805556,0.008959854,0.136944444
0.73681713,0.008963504,0.133
0.736828704,0.008956204,0.137666667
0.736840278,0.008824818,0.136444444
0.736851852,0.008967153,0.132888889
0.736863426,0.00909854,0.137722222
0.736875,0.009,0.132277778
0.736886574,0.009051095,0.133611111
0.736898148,0.009587591,0.137166667
0.736909722,0.008821168,0.133
0.736921296,0.009189781,0.139666667
0.73693287,0.008821168,0.1335
0.736944444,0.00919708,0.136388889
0.736956019,0.010124088,0.137
0.736967593,0.010624088,0.136388889
0.736979167,0.01120438,0.138277778
0.736990741,0.010810219,0.137722222
0.737002315,0.009854015,0.137722222
0.737013889,0.009288321,0.135722222
0.737025463,0.011328467,0.134277778
0.737037037,0.009558394,0.137722222
0.737048611,0.009551095,0.135777778
0.737060185,0.009558394,0.132833333
0.737071759,0.010828467,0.1335
0.737083333,0.01049635,0.132944444
0.737094907,0.01070073,0.137
0.737106481,0.01030292,0.137
0.737118056,0.01260219,0.136333333
0.73712963,0.012733577,0.136333333
0.737141204,0.010905109,0.136388889
0.737152778,0.011875912,0.138333333
0.737164352,0.012332117,0.135
0.737175926,0.011594891,0.135555556
0.7371875,0.010956204,0.134944444
0.737199074,0.012273723,0.137666667
0.737210648,0.013613139,0.134444444
0.737222222,0.011558394,0.133722222
0.737222222,0.012642336,0.137055556
0.737233796,0.012821168,0.137722222
0.73724537,0.01329562,0.134444444
0.737256944,0.013277372,0.133666667
0.737268519,0.013354015,0.136388889
0.737280093,0.013642336,0.136388889
0.737291667,0.012379562,0.136388889
0.737303241,0.013240876,0.133444444
0.737314815,0.012653285,0.135055556
0.737326389,0.013923358,0.135
0.737337963,0.013857664,0.136388889
0.737349537,0.013583942,0.134944444
0.737361111,0.014635036,0.133722222
0.737372685,0.013324818,0.134333333
0.737384259,0.014339416,0.133555556
0.737395833,0.014638686,0.131611111
0.737407407,0.015313869,0.136388889
0.737418981,0.013609489,0.138388889
0.737430556,0.014591241,0.133
0.73744213,0.01429927,0.138333333
0.737453704,0.013952555,0.136388889
0.737465278,0.015270073,0.133666667
0.737476852,0.014594891,0.135722222
0.737488426,0.014879562,0.136333333
0.7375,0.014375912,0.135611111
0.737511574,0.016324818,0.136944444
0.737523148,0.016255474,0.133
0.737534722,0.015956204,0.137666667
0.737546296,0.015036496,0.136444444
0.73755787,0.015952555,0.132888889
0.737569444,0.01570438,0.137722222
0.737581019,0.015624088,0.132277778
0.737592593,0.015562044,0.133611111
0.737604167,0.015722628,0.137166667
0.737615741,0.016930657,0.133
0.737627315,0.016036496,0.139666667
0.737638889,0.015989051,0.1335
0.737650463,0.016620438,0.136388889
0.737662037,0.016624088,0.137
0.737673611,0.016065693,0.136388889
0.737685185,0.015547445,0.138277778
0.737696759,0.014967153,0.137722222
0.737708333,0.014970803,0.137722222
0.737719907,0.015708029,0.135722222
0.737731481,0.015288321,0.134277778
0.737743056,0.016058394,0.137722222
0.737743056,0.015036496,0.135777778
0.73775463,0.016616788,0.132833333
0.737766204,0.016514599,0.1335
0.737777778,0.016266423,0.132944444
0.737789352,0.016583942,0.137
0.737800926,0.015631387,0.137
0.7378125,0.016620438,0.136333333
0.737824074,0.015160584,0.136333333
0.737835648,0.015580292,0.136388889
0.737847222,0.017328467,0.138333333
0.737858796,0.016620438,0.135
0.73787037,0.016978102,0.135555556
0.737881944,0.016981752,0.134944444
0.737893519,0.017394161,0.137666667
0.737905093,0.016386861,0.134444444
0.737916667,0.016733577,0.133722222
0.737928241,0.017145985,0.137055556
0.737939815,0.01840146,0.137722222
0.737951389,0.017656934,0.134444444
0.737962963,0.017981752,0.133666667
0.737974537,0.017678832,0.136388889
0.737986111,0.017065693,0.136388889
0.737997685,0.017332117,0.136388889
0.738009259,0.017737226,0.133444444
0.738020833,0.017664234,0.135055556
0.738032407,0.017087591,0.135
0.738043981,0.017010949,0.136388889
0.738055556,0.016923358,0.134944444
0.73806713,0.017624088,0.133722222
0.738078704,0.019032847,0.134333333
0.738090278,0.018211679,0.133555556
0.738101852,0.018551095,0.131611111
0.738113426,0.018671533,0.136388889
0.738125,0.018434307,0.138388889
0.738136574,0.018448905,0.133
0.738148148,0.018127737,0.138333333
0.738159722,0.019350365,0.136388889
0.738171296,0.019124088,0.133666667
0.73818287,0.017733577,0.135722222
0.738194444,0.017970803,0.136333333
0.738206019,0.019689781,0.135611111
0.738217593,0.018773723,0.136944444
0.738229167,0.018777372,0.133
0.738240741,0.019127737,0.137666667
0.738252315,0.018693431,0.136444444
0.738263889,0.019459854,0.132888889
0.738263889,0.01829562,0.137722222
0.738275463,0.01869708,0.132277778
0.738287037,0.019718978,0.133611111
0.738298611,0.01880292,0.137166667
0.738310185,0.01980292,0.133
0.738321759,0.019813869,0.139666667
0.738333333,0.020025547,0.1335
0.738344907,0.019474453,0.136388889
0.738356481,0.020036496,0.137
0.738368056,0.019032847,0.136388889
0.73837963,0.019248175,0.138277778
0.738391204,0.019131387,0.137722222
0.738402778,0.020124088,0.137722222
0.738414352,0.020332117,0.135722222
0.738425926,0.019817518,0.134277778
0.7384375,0.019489051,0.137722222
0.738449074,0.019645985,0.135777778
0.738460648,0.019737226,0.132833333
0.738472222,0.020368613,0.1335
0.738483796,0.020635036,0.132944444
0.73849537,0.019744526,0.137
0.738506944,0.020821168,0.137
0.738518519,0.020043796,0.136333333
0.738530093,0.020065693,0.136333333
0.738541667,0.020821168,0.136388889
0.738553241,0.021317518,0.138333333
0.738564815,0.020474453,0.135
0.738576389,0.020967153,0.135555556
0.738587963,0.020591241,0.134944444
0.738599537,0.02180292,0.137666667
0.738611111,0.02129927,0.134444444
0.738622685,0.021076642,0.133722222
0.738634259,0.02070073,0.137055556
0.738645833,0.020361314,0.137722222
0.738657407,0.018945255,0.134444444
0.738668981,0.019562044,0.133666667
0.738680556,0.018992701,0.136388889
0.73869213,0.018014599,0.136388889
0.738703704,0.017854015,0.136388889
0.738715278,0.017357664,0.133444444
0.738726852,0.017948905,0.135055556
0.738738426,0.018313869,0.135
0.73875,0.018985401,0.136388889
0.738761574,0.018328467,0.134944444
0.738773148,0.01850365,0.133722222
0.738784722,0.019120438,0.134333333
0.738784722,0.018313869,0.133555556
0.738796296,0.018481752,0.131611111
0.73880787,0.018240876,0.136388889
0.738819444,0.018580292,0.138388889
0.738831019,0.01849635,0.133
0.738842593,0.018846715,0.138333333
0.738854167,0.018313869,0.136388889
0.738865741,0.01820073,0.133666667
0.738877315,0.018317518,0.135722222
0.738888889,0.018405109,0.136333333
0.738900463,0.01900365,0.135611111
0.738912037,0.018664234,0.136944444
0.738923611,0.018222628,0.133
0.738935185,0.018317518,0.134
0.738946759,0.018576642,0.134611111
0.738958333,0.018507299,0.136111111
0.738969907,0.018744526,0.134222222
0.738981481,0.018678832,0.136166667
0.738993056,0.018405109,0.136277778
0.73900463,0.019335766,0.135
0.739016204,0.018675182,0.138722222
0.739027778,0.018032847,0.138833333
0.739039352,0.018116788,0.141722222
0.739050926,0.018656934,0.140388889
0.7390625,0.019854015,0.141777778
0.739074074,0.018985401,0.143777778
0.739085648,0.018927007,0.144444444
0.739097222,0.018416058,0.146611111
0.739108796,0.018562044,0.146444444
0.73912037,0.0185,0.146555556
0.739131944,0.018660584,0.148055556
0.739143519,0.018481752,0.147222222
0.739155093,0.018229927,0.145888889
0.739166667,0.01909854,0.143277778
0.739178241,0.01919708,0.141722222
0.739189815,0.018660584,0.137555556
0.739201389,0.01809854,0.137666667
0.739212963,0.018481752,0.136444444
0.739224537,0.018094891,0.132888889
0.739236111,0.018313869,0.137722222
0.739247685,0.019408759,0.132277778
0.739259259,0.018306569,0.133611111
0.739270833,0.017908759,0.137166667
0.739282407,0.018010949,0.133
0.739293981,0.018306569,0.139666667
0.739293981,0.018222628,0.1335
0.739305556,0.017908759,0.136388889
0.73931713,0.017916058,0.137
0.739328704,0.018474453,0.136388889
0.739340278,0.018383212,0.138277778
0.739351852,0.01830292,0.137722222
0.739363426,0.018010949,0.137722222
0.739375,0.018642336,0.135722222
0.739386574,0.018014599,0.134277778
0.739398148,0.018645985,0.137722222
0.739409722,0.018,0.135777778
0.739421296,0.01809854,0.132833333
0.73943287,0.017930657,0.1335
0.739444444,0.017667883,0.132944444
0.739456019,0.019211679,0.137
0.739467593,0.01840146,0.137
0.739479167,0.018138686,0.136333333
0.739490741,0.018565693,0.136333333
0.739502315,0.018828467,0.136388889
0.739513889,0.019094891,0.138333333
0.739525463,0.019985401,0.135
0.739537037,0.019890511,0.135555556
0.739548611,0.020357664,0.134944444
0.739560185,0.02070073,0.137666667
0.739571759,0.021492701,0.134444444
0.739583333,0.022386861,0.133722222
0.739594907,0.022989051,0.137055556
0.739606481,0.023562044,0.137722222
0.739618056,0.024116788,0.134444444
0.73962963,0.025430657,0.133666667
0.739641204,0.026627737,0.136388889
0.739652778,0.027288321,0.136388889
0.739664352,0.028711679,0.136388889
0.739675926,0.03069708,0.133444444
0.7396875,0.031266423,0.135055556
0.739699074,0.032189781,0.135
0.739710648,0.034354015,0.136388889
0.739722222,0.035218978,0.134944444
0.739733796,0.037284672,0.133722222
0.73974537,0.039919708,0.134333333
0.739756944,0.039609489,0.133555556
0.739768519,0.041430657,0.131611111
0.739780093,0.04229927,0.136388889
0.739791667,0.043613139,0.138388889
0.739803241,0.046240876,0.133
0.739814815,0.048427007,0.138333333
0.739814815,0.050072993,0.136388889
0.739826389,0.052620438,0.133666667
0.739837963,0.055335766,0.135722222
0.739849537,0.057222628,0.136333333
0.739861111,0.060193431,0.135611111
0.739872685,0.066237226,0.136944444
0.739884259,0.078120438,0.133
0.739895833,0.098791971,0.136388889
0.739907407,0.107368613,0.133666667
0.739918981,0.118664234,0.135277778
0.739930556,0.132087591,0.130666667
0.73994213,0.138948905,0.130111111
0.739953704,0.140080292,0.135055556
0.739965278,0.141821168,0.1275
0.739976852,0.145175182,0.129888889
0.739988426,0.162708029,0.129333333
0.74,0.16949635,0.1305
0.740011574,0.18080292,0.131388889
0.740023148,0.176751825,0.131833333
0.740034722,0.170959854,0.131333333
0.740046296,0.165237226,0.1325
0.74005787,0.14810219,0.134055556
0.740069444,0.134835766,0.13
0.740081019,0.130952555,0.133444444
0.740092593,0.120109489,0.133277778
0.740104167,0.119032847,0.134833333
0.740115741,0.11680292,0.137333333
0.740127315,0.116580292,0.138111111
0.740138889,0.116551095,0.137388889
0.740150463,0.115883212,0.137444444
0.740162037,0.115405109,0.145055556
0.740173611,0.113339416,0.1335
0.740185185,0.112419708,0.138944444
0.740196759,0.111058394,0.139833333
0.740208333,0.111551095,0.141888889
0.740219907,0.110817518,0.142
0.740231481,0.110890511,0.130611111
0.740243056,0.110208029,0.130777778
0.74025463,0.111832117,0.131388889
0.740266204,0.112514599,0.132722222
0.740277778,0.112835766,0.132222222
0.740289352,0.11400365,0.132722222
0.740300926,0.112981752,0.134777778
0.7403125,0.112945255,0.133444444
0.740324074,0.115142336,0.135277778
0.740335648,0.113781022,0.134944444
0.740335648,0.113781022,0.134222222
0.740347222,0.114156934,0.136222222
0.740358796,0.115255474,0.136111111
0.74037037,0.116062044,0.138055556
0.740381944,0.117748175,0.140777778
0.740393519,0.119565693,0.136944444
0.740405093,0.121481752,0.134944444
0.740416667,0.123288321,0.1375
0.740428241,0.124762774,0.135555556
0.740439815,0.126492701,0.134888889
0.740451389,0.129912409,0.133611111
0.740462963,0.131616788,0.132833333
0.740474537,0.134379562,0.135055556
0.740486111,0.138171533,0.137277778
0.740497685,0.141284672,0.135444444
0.740509259,0.147310219,0.134833333
0.740520833,0.152916058,0.137333333
0.740532407,0.160755474,0.135888889
0.740543981,0.163978102,0.132055556
0.740555556,0.167613139,0.130055556
0.74056713,0.169638686,0.135777778
0.740578704,0.173310219,0.128777778
0.740590278,0.176642336,0.128777778
0.740601852,0.177339416,0.134
0.740613426,0.180788321,0.132555556
0.740625,0.181416058,0.133944444
0.740636574,0.182277372,0.132
0.740648148,0.185854015,0.135944444
0.740659722,0.190667883,0.133277778
0.740671296,0.194485401,0.133444444
0.74068287,0.200784672,0.133333333
0.740694444,0.204423358,0.133277778
0.740706019,0.209572993,0.131222222
0.740717593,0.21470438,0.131333333
0.740729167,0.219547445,0.133333333
0.740740741,0.22720073,0.131222222
0.740752315,0.227686131,0.13
0.740763889,0.234434307,0.131166667
0.740775463,0.238912409,0.135166667
0.740787037,0.242635036,0.133222222
0.740798611,0.248087591,0.133944444
0.740810185,0.253908759,0.134055556
0.740821759,0.257886861,0.132
0.740833333,0.264018248,0.133111111
0.740844907,0.268978102,0.133222222
0.740844907,0.274762774,0.127888889
0.740856481,0.284010949,0.132666667
0.740868056,0.287474453,0.130555556
0.74087963,0.292485401,0.129944444
0.740891204,0.303521898,0.131944444
0.740902778,0.31009854,0.130611111
0.740914352,0.316467153,0.132444444
0.740925926,0.326346715,0.132611111
0.7409375,0.332649635,0.1305
0.740949074,0.34160219,0.135222222
0.740960648,0.34719708,0.131222222
0.740972222,0.358390511,0.135944444
0.740983796,0.364372263,0.131277778
0.74099537,0.370372263,0.128777778
0.741006944,0.380624088,0.131833333
0.741018519,0.39020438,0.130555556
0.741030093,0.400153285,0.136555556
0.741041667,0.406675182,0.136444444
0.741053241,0.420025547,0.130666667
0.741064815,0.423543796,0.133888889
0.741076389,0.431244526,0.133222222
0.741087963,0.441419708,0.135888889
0.741099537,0.449156934,0.130611111
0.741111111,0.455448905,0.134444444
0.741122685,0.466474453,0.130611111
0.741134259,0.474948905,0.135166667
0.741145833,0.480018248,0.135944444
0.741157407,0.492419708,0.1365
0.741168981,0.495419708,0.130555556
0.741180556,0.502386861,0.131333333
0.74119213,0.508985401,0.130555556
0.741203704,0.51350365,0.135222222
0.741215278,0.522923358,0.130555556
0.741226852,0.531324818,0.129444444
0.741238426,0.536489051,0.133166667
0.74125,0.543091241,0.130666667
0.741261574,0.553434307,0.131888889
0.741273148,0.559328467,0.133166667
0.741284722,0.560583942,0.134555556
0.741296296,0.569492701,0.132055556
0.74130787,0.578120438,0.133166667
