Time,F_in,F_out
19:26:45,9.32234E-05,0.001194296
19:26:46,-0.000229473,0.000481283
19:26:47,9.32234E-05,0.001194296
19:26:48,0.000480459,0.001016043
19:26:49,0.00013625,0.000909091
19:26:50,0.000111151,0.000623886
19:26:51,9.68089E-05,0.001051693
19:26:52,9.32234E-05,0.000766488
19:26:53,0.000437433,0.001515152
19:26:54,-0.000229473,0.000481283
19:26:55,-0.000229473,0.001354724
19:26:56,0.000114736,0.001853832
19:26:57,-0.000530656,0.001229947
19:26:58,0.000132664,0.001372549
19:26:59,9.32234E-05,0.001675579
19:27:00,-0.000530656,0.001212121
19:27:08,-0.000530656,0.000909091
19:27:10,9.32234E-05,0.000606061
19:27:12,0.000480459,0.000891266
19:27:13,0.00013625,0.001372549
19:27:14,0.000114736,0.000909091
19:27:15,0.00045536,0.001212121
19:27:16,0.000111151,0.001515152
19:27:17,-0.000211545,0.001212121
19:27:18,9.32234E-05,0.001212121
19:27:19,0.000480459,0.001033868
19:27:20,0.00013625,0.001033868
19:27:21,0.000111151,0.00087344
19:27:22,-0.000193618,0.000606061
19:27:23,9.68089E-05,0.001051693
19:27:24,0.000501972,0.000606061
19:27:25,9.68089E-05,0.001176471
19:27:26,0.000114736,0.001016043
19:27:27,0.000441018,0.001354724
19:27:28,0.00013625,0.001212121
19:27:29,-0.000190032,0.000463458
19:27:30,0.000114736,0.000730838
19:27:31,0.000476873,0.001336898
19:27:32,0.000476873,0.000481283
19:27:33,0.000441018,0.00057041
19:27:34,0.000111151,0.001336898
19:27:35,0.000441018,0.00087344
19:27:36,0.000828254,0.000463458
19:27:37,0.000476873,0.000713012
19:27:38,0.000476873,0.00087344
19:27:39,0.000806741,0.000588235
19:27:40,0.000462531,0.000588235
19:27:41,0.000824668,0.00087344
19:27:42,0.000785228,0.00087344
19:27:43,0.000803155,0.000445633
19:27:44,-0.000250986,0.00087344
19:27:45,0.00045536,0.001336898
19:27:46,0.000788813,0.000713012
19:27:47,0.000114736,0.001016043
19:27:48,0.00045536,0.000891266
19:27:49,0.001147365,0.000160428
19:27:50,0.00013625,0.001461676
19:27:51,0.000498387,0.000855615
19:27:52,0.000803155,0.00087344
19:27:53,0.000441018,0.000320856
19:27:54,0.000132664,0.000713012
19:27:55,0.000476873,0.000695187
19:27:56,0.00013625,0.001942959
19:27:57,0.000114736,0.002263815
19:27:58,0.000480459,0.001800357
19:27:58,0.000132664,0.001194296
19:27:59,0.00045536,0.001319073
19:28:00,0.000111151,0.001176471
19:28:01,-0.000250986,0.001622103
19:28:02,0.000132664,0.001782531
19:28:03,0.000476873,0.001194296
19:28:04,0.000132664,0.002245989
19:28:05,-0.0005199,0.001800357
19:28:06,0.000476873,0.001158645
19:28:07,-0.000233058,0.001800357
19:28:08,9.32234E-05,0.001176471
19:28:09,0.00045536,0.001942959
19:28:10,0.000132664,0.001497326
19:28:11,0.000132664,0.002263815
19:28:12,0.000451775,0.001176471
19:28:13,0.001172463,0.001622103
19:28:14,0.001172463,0.001479501
19:28:15,0.001193976,0.001622103
19:28:16,0.001502331,0.001800357
19:28:17,0.002136967,0.001176471
19:28:18,0.001764073,0.001372549
19:28:19,0.002133381,0.000713012
19:28:20,0.002828971,0.001479501
19:28:21,0.003176766,0.001497326
19:28:22,0.003782718,0.001622103
19:28:23,0.004134098,0.002263815
19:28:24,0.004858372,0.001782531
19:28:25,0.005514521,0.001622103
19:28:26,0.005858731,0.001622103
19:28:27,0.006550735,0.002085561
19:28:28,0.006557906,0.002103387
19:28:29,0.006539978,0.001158645
19:28:30,0.007601291,0.001639929
19:28:31,0.007192542,0.001479501
19:28:32,0.007543923,0.002103387
19:28:33,0.00749014,0.002245989
19:28:34,0.007486554,0.001176471
19:28:35,0.008178559,0.001782531
19:28:36,0.007952671,0.002442068
19:28:37,0.007536752,0.001639929
19:28:38,0.007888132,0.001622103
19:28:39,0.008171388,0.001925134
19:28:40,0.008250269,0.001800357
19:28:41,0.008572965,0.001479501
19:28:42,0.008282539,0.001622103
19:28:43,0.008182144,0.001925134
19:28:43,0.007891717,0.002067736
19:28:44,0.008874148,0.002103387
19:28:45,0.008580136,0.002103387
19:28:46,0.00822517,0.001782531
19:28:47,0.008519183,0.002228164
19:28:48,0.008178559,0.002245989
19:28:49,0.007941915,0.001942959
19:28:50,0.008590893,0.001942959
19:28:51,0.008232341,0.002085561
19:28:52,0.008239512,0.002406417
19:28:53,0.007877375,0.002566845
19:28:54,0.008580136,0.001622103
19:28:55,0.008877734,0.001604278
19:28:56,0.008350663,0.002727273
19:28:57,0.009010398,0.002067736
19:28:58,0.008892076,0.001497326
19:28:59,0.009641449,0.001604278
19:29:00,0.010261743,0.001461676
19:29:01,0.010555755,0.001942959
19:29:02,0.010501972,0.002406417
19:29:03,0.011000359,0.002531194
19:29:04,0.011531015,0.002049911
19:29:05,0.011957691,0.001604278
19:29:06,0.013287917,0.001622103
19:29:07,0.014087487,0.002406417
19:29:08,0.014998207,0.001925134
19:29:09,0.015865902,0.001925134
19:29:10,0.015905342,0.00254902
19:29:11,0.01804948,0.002067736
19:29:12,0.01920043,0.002228164
19:29:13,0.020770886,0.001604278
19:29:14,0.022115454,0.001764706
19:29:15,0.023004661,0.001622103
19:29:16,0.025184654,0.002067736
19:29:17,0.026568663,0.003012478
19:29:18,0.0284654,0.002067736
19:29:19,0.030692004,0.002049911
19:29:20,0.032721406,0.002228164
19:29:21,0.035776264,0.001746881
19:29:22,0.038336321,0.001925134
19:29:23,0.042463248,0.00285205
19:29:24,0.045449982,0.002513369
19:29:25,0.050082467,0.002709447
19:29:26,0.05463607,0.001622103
19:29:27,0.059505199,0.002085561
19:29:27,0.064403012,0.002834225
19:29:28,0.068619577,0.00315508
19:29:29,0.074585873,0.002531194
19:29:30,0.081204733,0.002085561
19:29:31,0.088515597,0.002228164
19:29:32,0.096507709,0.001764706
19:29:33,0.106963069,0.00285205
19:29:34,0.113929724,0.002245989
19:29:35,0.121570455,0.00315508
19:29:36,0.132165651,0.003404635
19:29:37,0.141179634,0.003582888
19:29:38,0.15163858,0.003404635
19:29:39,0.163754034,0.003440285
19:29:40,0.175173897,0.003279857
19:29:41,0.183348871,0.00315508
19:29:42,0.197518824,0.004688057
19:29:43,0.209168161,0.004509804
19:29:44,0.224126927,0.003761141
19:29:45,0.23525995,0.004171123
19:29:46,0.248978128,0.004349376
19:29:47,0.259290068,0.004064171
19:29:48,0.272187164,0.003868093
19:29:49,0.283334529,0.005294118
19:29:50,0.298468985,0.00513369
19:29:51,0.311699534,0.005151515
19:29:52,0.320035855,0.004527629
19:29:53,0.335130871,0.004670232
19:29:54,0.347716027,0.005329768
19:29:55,0.359494442,0.005311943
19:29:56,0.370354966,0.005115865
19:29:57,0.382298315,0.004812834
19:29:58,0.393883112,0.005454545
19:29:59,0.404234493,0.005650624
19:30:00,0.420534242,0.004688057
19:30:01,0.430806741,0.004206774
19:30:02,0.443836501,0.004670232
19:30:03,0.453610613,0.005329768
19:30:04,0.462237361,0.004688057
19:30:05,0.478002868,0.005686275
19:30:06,0.490570097,0.004527629
19:30:07,0.503262818,0.005347594
19:30:08,0.508192901,0.005294118
19:30:09,0.51623521,0.006381462
19:30:10,0.525647185,0.005882353
19:30:11,0.542108283,0.006060606
19:30:12,0.54856938,0.005543672
19:30:12,0.553520975,0.005472371
19:30:13,0.566755109,0.005882353
19:30:14,0.572344926,0.006078431
19:30:15,0.586697741,0.005525847
19:30:16,0.590806741,0.006488414
19:30:17,0.606464683,0.0057041
19:30:18,0.611552528,0.006666667
19:30:19,0.61658659,0.005900178
19:30:20,0.622660452,0.006185383
19:30:21,0.633682323,0.006345811
19:30:22,0.641319469,0.006827094
19:30:23,0.647870204,0.006631016
19:30:24,0.655869487,0.006185383
19:30:25,0.664238078,0.006024955
19:30:26,0.667547508,0.006987522
19:30:27,0.678056651,0.006345811
19:30:28,0.677673001,0.006648841
19:30:29,0.687095733,0.00684492
19:30:30,0.693610613,0.006666667
19:30:31,0.699766942,0.006167558
19:30:32,0.706281821,0.006827094
19:30:33,0.715887415,0.007754011
19:30:34,0.720250986,0.006541889
19:30:35,0.726798136,0.006827094
19:30:36,0.732983148,0.006541889
19:30:37,0.739164575,0.007272727
19:30:38,0.738497669,0.007112299
19:30:39,0.748985299,0.0057041
19:30:40,0.751531015,0.006827094
19:30:41,0.752606669,0.006809269
19:30:42,0.7687128,0.007272727
19:30:43,0.764560774,0.006167558
19:30:44,0.770354966,0.007094474
19:30:45,0.777723198,0.007308378
19:30:46,0.782814629,0.007468806
19:30:47,0.7871782,0.007468806
19:30:48,0.792635353,0.006345811
19:30:49,0.80442811,0.006524064
19:30:50,0.801366081,0.006524064
19:30:51,0.806457512,0.006327986
19:30:52,0.806550735,0.006327986
