Time,Conductivity_in,Conductivity_out
16:17:26,2333.83,23.06
16:17:27,2359.79,23.17
16:17:28,2361.57,22.59
16:17:29,2381.38,23.27
16:17:30,2414,23.18
16:17:31,2409.11,23.16
16:17:32,2423.97,23.42
16:17:33,2459,23.17
16:17:34,2438.25,23.4
16:17:35,2460.62,23.73
16:17:36,2485.2,23.38
16:17:37,2468.82,23.29
16:17:38,2482.62,23.85
16:17:39,2512.07,23.83
16:17:40,2501.36,22.82
16:17:41,2533.96,24.55
16:17:42,2530.96,23.56
16:17:43,2539.87,22.92
16:17:44,2544.82,22.91
16:17:45,2538.82,24.3
16:17:46,2571.78,22.89
16:17:47,2593,22.44
16:17:48,2573.55,23.49
16:17:49,2572.34,23.95
16:17:50,2598.66,22.57
16:17:51,2577.27,23.72
16:17:52,2593.36,23.03
16:17:53,2592.06,23.27
16:17:54,2604.26,23.6
16:17:55,2611.19,22.75
16:17:56,2636,23.36
16:17:57,2605.87,23.71
16:17:58,2629.02,23.94
16:17:59,2625.06,22.73
16:18:00,2646.43,23.8
16:18:01,2622.63,23.58
16:18:02,2641.9,23.26
16:18:03,2636.95,22.2
16:18:04,2647.85,22.4
16:18:05,2653.79,22.51
16:18:06,2646.85,22.76
16:18:07,2644.32,22.54
16:18:08,2643.33,23.56
16:18:09,2631.99,22.3
16:18:10,2666.67,22.99
16:18:11,2657.75,24.16
16:18:11,2650.23,22.65
16:18:12,2659.73,23.25
16:18:13,2661.08,23.24
16:18:14,2681.26,22.3
16:18:15,2660.09,23.47
16:18:16,2672.61,23.68
16:18:17,2668.97,21.93
16:18:18,2685.25,22.75
16:18:19,2684.5,22.95
16:18:20,2679.54,22.73
16:18:21,2690.22,22.62
16:18:22,2713,22.29
16:18:23,2671.92,22.3
16:18:24,2701.17,22.74
16:18:25,2702.16,21.98
16:18:26,2704.16,22.29
16:18:27,2676.85,23.68
16:18:28,2692.42,22.97
16:18:29,2709.13,23.43
16:18:30,2711.12,22.32
16:18:31,2711.12,23.34
16:18:32,2718.09,23.66
16:18:33,2685.73,22.4
16:18:34,2717.09,23.65
16:18:35,2702.33,22.52
16:18:36,2691.64,23.8
16:18:37,2702.33,23.48
16:18:38,2701.34,22.2
16:18:39,2697.56,22.53
16:18:40,2691.64,22.65
16:18:41,2694.6,23.1
16:18:42,2723.07,22.62
16:18:43,2722.07,22.73
16:18:44,2725.06,22.73
16:18:45,2697.56,22.77
16:18:46,2698.55,22.88
16:18:47,2715.21,22.31
16:18:48,2726.05,22.89
16:18:49,2733.02,22.89
16:18:50,2706.43,22.89
16:18:51,2718.18,22.18
16:18:52,2719.17,23.5
16:18:53,2710.38,22.9
16:18:54,2707.42,22.64
16:18:55,2722.14,22.38
16:18:56,2733.02,22.87
16:18:57,2722.14,22.75
16:18:57,2749,23.1
16:18:58,2723.13,23.56
16:18:59,2726.1,22.38
16:19:00,2721.15,23.59
16:19:01,2726.1,23.34
16:19:02,2752,23.1
16:19:03,2735.02,23.57
16:19:04,2743.97,23.45
16:19:05,2717.28,22.47
16:19:06,2728.08,22.29
16:19:07,2729.07,22.96
16:19:08,2727.09,22.05
16:19:09,2731.05,23.36
16:19:10,2732.05,22.2
16:19:11,2722.21,22.08
16:19:12,2755,22.5
16:19:13,2739.98,23.45
16:19:14,2722.21,21.84
16:19:15,2735.02,24.05
16:19:16,2762,24.04
16:19:17,2733.04,23.68
16:19:18,2737.99,22.62
16:19:19,2731.05,23.37
16:19:20,2753.92,23.69
16:19:21,2754.91,23.9
16:19:22,2723.19,22.54
16:19:23,2743.93,22.66
16:19:24,2716.29,23.27
16:19:25,2757.9,23.95
16:19:26,2737.99,22.99
16:19:27,2731.05,23.03
16:19:28,2734.04,23.24
16:19:29,2762,22.3
16:19:30,2741.95,22.56
16:19:31,2742.94,23.57
16:19:32,2733.05,22.52
16:19:33,2750.93,23.22
16:19:34,2742.94,22.79
16:19:35,2760.89,23.69
16:19:36,2751.93,23.94
16:19:37,2741.95,23.93
16:19:38,2743.93,22.2
16:19:39,2731.08,23.48
16:19:40,2743.93,22.19
16:19:41,2720.31,22.3
16:19:42,2729.11,23.79
16:19:43,2747.89,23.48
16:19:43,2745.91,23.12
16:19:44,2741.95,23.01
16:19:45,2752.85,23.59
16:19:46,2768,22.76
16:19:47,2729.11,23.68
16:19:48,2762.88,22.77
16:19:49,2739.96,23.38
16:19:50,2741.93,23.7
16:19:51,2753.84,22.41
16:19:52,2733.05,22.99
16:19:53,2753.84,23.37
16:19:54,2753.84,22.9
16:19:55,2739.96,23.25
16:19:56,2737.98,22.41
16:19:57,2766.86,23
16:19:58,2760.89,23.18
16:19:59,2731.08,23.14
16:20:00,2756.81,23.06
16:20:01,2755.82,22.91
16:20:02,2743.9,23.61
16:20:03,2772.83,23.51
16:20:04,2750.87,23.69
16:20:05,2751.86,23.39
16:20:06,2783,23.97
16:20:07,2758.79,25.69
16:20:08,2752.85,30.22
16:20:09,2725.22,52.25
16:20:10,2769.84,70.02
16:20:11,2766.86,83.25
16:20:12,2757.8,92.48
16:20:13,2766.86,101.06
16:20:14,2753.84,110.4
16:20:15,2734.05,120.13
16:20:16,2758.79,127.1
16:20:17,2770.84,142.3
16:20:18,2740.94,152.72
16:20:19,2763.87,163.98
16:20:20,2751.86,177.04
16:20:21,2754.83,191.67
16:20:22,2756.81,203.7
16:20:23,2739.96,217.27
16:20:24,2755.82,232.88
16:20:25,2727.18,250.82
16:20:26,2750.87,262.7
16:20:27,2747.89,272.72
16:20:28,2760.77,284.25
16:20:28,2757.8,295.19
16:20:29,2742.91,312.71
16:20:30,2752.85,323.19
16:20:31,2739.96,337.19
16:20:32,2755.82,346.91
16:20:33,2749.81,353.48
16:20:34,2749.88,358.19
16:20:35,2781,364.14
16:20:36,2773.82,364.9
16:20:37,2761.76,365.95
16:20:38,2756.81,372
16:20:39,2758.79,376.14
16:20:40,2752.85,379.59
16:20:41,2759.78,382.96
16:20:42,2768.85,381.37
16:20:43,2751.79,380.18
16:20:44,2769.84,376.55
16:20:45,2775.81,380.09
16:20:46,2738.97,380.49
16:20:47,2754.83,386.43
16:20:48,2763.74,393.1
16:20:49,2774.82,409.44
16:20:50,2775.81,407.49
16:20:51,2761.76,410.94
16:20:52,2741.93,416.84
16:20:53,2772.83,422.09
16:20:54,2759.78,429.72
16:20:55,2774.82,431.35
16:20:56,2761.76,432.59
16:20:57,2750.87,429.28
16:20:58,2759.78,427.38
16:20:59,2757.8,431.16
16:21:00,2760.77,431.8
16:21:01,2761.76,433.76
16:21:02,2756.81,444.79
16:21:03,2754.83,443.38
16:21:04,2746.86,441.32
16:21:05,2759.78,437.29
16:21:06,2779.8,438.04
16:21:07,2764.73,437.56
16:21:08,2762.75,445.86
16:21:09,2773.82,449.36
16:21:10,2773.82,461.23
